cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,31,1,0,0,31
5500,0,0,0,0,0,0
5600,0,0,0,0,0,0
5700,0,0,32,99,66,0
5800,0,0,0,12,30,0
5900,0,0,0,0,0,0
6000,0,0,0,0,0,0
6100,0,22,49,30,9,22
6200,0,65,86,155,14,65
6300,0,22,38,290,1,22
6400,0,15,29,258,5,15
6500,0,8,26,208,2,8
6600,0,14,18,211,7,14
6700,0,13,20,123,3,13
6800,0,0,19,364,0,0
6900,0,0,20,219,1,0
7000,0,6,12,119,2,6
7100,2,48,14,233,12,48
7200,0,11,13,175,2,11
7300,2,14,18,177,6,14
7400,0,0,13,387,0,0
7500,0,0,14,303,0,0
7600,0,0,14,282,0,0
7700,0,0,28,123,1,0
7800,0,19,16,143,5,19
7900,0,15,14,225,4,15
8000,0,0,17,193,2,0
8100,0,0,13,332,0,0
8200,0,0,19,174,0,0
8300,0,6,21,266,3,6
8400,1,7,17,212,2,7
8500,0,1,24,264,0,1
8600,0,0,20,218,0,0
8700,0,0,14,222,2,0
8800,0,14,19,189,4,14
8900,2,3,10,217,0,3
9000,1,5,27,156,3,5
9100,3,14,25,236,0,14
9200,0,0,13,211,0,0
9300,0,4,16,244,3,4
9400,1,0,22,264,0,0
9500,1,13,23,173,4,13
9600,1,3,18,266,3,3
9700,0,1,25,236,1,1
9800,1,0,21,220,1,0
9900,1,2,27,270,2,2
10000,0,0,12,278,2,0
10100,1,2,16,187,7,2
10200,5,0,22,266,1,0
10300,19,1,21,151,5,1
10400,10,0,15,170,2,0
10500,11,4,18,198,3,4
10600,10,2,18,289,4,2
10700,13,9,18,113,4,9
10800,40,30,14,168,15,30
10900,13,7,27,295,5,7
11000,9,7,15,186,5,7
11100,11,20,21,174,5,20
11200,12,0,18,277,6,0
11300,23,20,24,236,8,20
11400,2,11,20,229,11,11
11500,0,2,31,171,0,2
11600,0,1,39,275,0,1
11700,2,4,21,272,1,4
11800,0,0,21,289,0,0
11900,0,0,26,156,0,0
12000,0,0,19,381,0,0
12100,0,0,14,293,0,0
12200,0,0,18,198,0,0
12300,0,0,13,170,0,0
12400,0,0,12,181,0,0
12500,0,0,8,208,0,0
12600,0,0,4,269,0,0
12700,0,0,7,201,0,0
12800,0,0,5,137,0,0
12900,0,0,6,215,0,0
13000,0,0,7,251,0,0
13100,0,0,7,99,0,0
13200,0,0,8,202,0,0
13300,0,0,3,397,0,0
13400,0,0,11,299,0,0
13500,0,0,14,146,0,0
13600,0,0,12,322,0,0
13700,0,0,15,142,0,0
13800,0,0,12,337,0,0
13900,0,0,11,189,0,0
14000,0,0,11,301,0,0
14100,0,0,7,150,0,0
14200,0,0,7,210,0,0
14300,0,0,8,336,0,0
14400,0,0,11,244,0,0
14500,0,1,11,212,0,1
14600,0,0,7,256,0,0
14700,0,0,7,150,0,0
14800,0,0,9,169,1,0
14900,0,0,14,251,0,0
15000,0,0,10,363,0,0
15100,0,0,14,230,0,0
15200,0,0,8,192,0,0
15300,0,0,9,197,0,0
15400,0,0,9,276,0,0
15500,0,0,6,161,0,0
15600,0,0,9,188,0,0
15700,0,0,3,342,0,0
15800,0,0,7,352,0,0
15900,0,0,5,261,1,0
16000,0,0,8,175,1,0
16100,0,0,16,190,0,0
16200,0,0,15,303,0,0
16300,0,0,10,190,0,0
16400,0,0,4,112,0,0
16500,0,0,12,193,0,0
16600,0,0,9,256,0,0
16700,0,0,9,171,0,0
16800,0,0,19,222,0,0
16900,0,0,24,216,0,0
17000,0,0,14,185,0,0
17100,0,2,15,258,2,2
17200,0,1,3,196,0,1
17300,0,1,11,147,1,1
17400,0,5,7,121,0,5
17500,0,2,8,180,0,2
17600,0,6,11,187,1,6
17700,0,0,9,168,1,0
17800,0,0,7,198,1,0
17900,0,5,12,235,3,5
18000,1,2,10,191,0,2
18100,0,8,9,173,1,8
18200,1,10,10,283,3,10
18300,0,7,4,230,3,7
18400,0,1,15,195,3,1
18500,0,0,12,344,1,0
18600,0,0,15,276,0,0
18700,1,0,19,174,0,0
18800,0,0,12,217,0,0
18900,11,4,12,270,6,4
19000,5,3,12,166,2,3
19100,8,1,13,145,3,1
