kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bc_topo_base.1.sm_75.ptx 558 : 1 4 0 0 0 1 1 0 0 
bc_topo_base.1.sm_75.ptx 557 : 1 9 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 556 : 1 366 32 0 0 1 1 0 0 
bc_topo_base.1.sm_75.ptx 555 : 1 9 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 554 : 1 4 0 0 0 1 1 0 0 
bc_topo_base.1.sm_75.ptx 553 : 1 9 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 552 : 1 9 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 551 : 1 6 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 415 : 1 6 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 408 : 1 9 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 561 : 256 1344 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 93 : 1 5 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 92 : 1 4 0 0 0 1 1 0 0 
bc_topo_base.1.sm_75.ptx 90 : 1 109 0 0 0 1 1 0 0 
bc_topo_base.1.sm_75.ptx 598 : 1 6 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 89 : 1 6 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 597 : 1 425 32 0 0 1 1 0 0 
bc_topo_base.1.sm_75.ptx 104 : 11548928 94659168 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 88 : 1 9 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 101 : 11548844 259433066 0 0 0 1443606 360902 0 0 
bc_topo_base.1.sm_75.ptx 87 : 1 11 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 100 : 11548844 116322868 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 99 : 11548844 157738412 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 86 : 1 5 0 0 0 1 1 0 0 
bc_topo_base.1.sm_75.ptx 98 : 11548844 275827037 0 0 0 1443606 360902 0 0 
bc_topo_base.1.sm_75.ptx 599 : 1 5 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 85 : 1 7 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 97 : 11548844 139293100 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 91 : 1 11 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 605 : 11548928 64856704 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 96 : 11548844 219352796 0 0 0 360902 360902 0 0 
bc_topo_base.1.sm_75.ptx 596 : 1 9 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 82 : 11548844 103082172 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 595 : 1 6 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 81 : 11548845 6 0 0 0 0 0 0 1 
bc_topo_base.1.sm_75.ptx 594 : 1 6 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 80 : 11548845 99210907 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 79 : 11548845 129054773 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 60 : 11548928 77119584 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 59 : 11548928 73486432 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 58 : 11548928 73539072 0 0 0 0 0 0 0 
bc_topo_base.1.sm_75.ptx 57 : 11548928 83802624 0 0 0 0 0 0 0 
