cycle,row_hit,row_miss
5000,0,0
5100,0,0
5200,0,0
5300,0,0
5400,0,0
5500,0,0
5600,0,0
5700,6,1
5800,51,1
5900,61,4
6000,64,0
6100,63,0
6200,61,0
6300,8,0
6400,0,0
6500,0,1
6600,42,1
6700,12,0
6800,0,0
6900,0,0
7000,0,0
7100,7,0
7200,61,2
7300,65,2
7400,62,0
7500,64,2
7600,55,0
7700,0,0
7800,10,2
7900,4,0
8000,24,0
8100,12,0
8200,14,0
8300,41,0
8400,45,2
8500,62,0
8600,64,2
8700,64,2
8800,63,0
8900,62,0
9000,60,2
9100,21,0
9200,16,0
9300,31,2
9400,21,3
9500,25,3
9600,44,2
9700,57,1
9800,63,3
9900,48,0
10000,64,2
10100,64,0
10200,62,0
10300,62,3
10400,47,1
10500,4,0
10600,25,0
10700,62,0
10800,60,0
10900,39,0
11000,45,4
11100,57,6
11200,58,2
11300,63,0
11400,36,3
11500,58,3
11600,63,0
11700,43,0
11800,25,0
11900,24,0
12000,45,4
12100,48,4
12200,64,0
12300,47,0
12400,50,0
12500,59,3
12600,62,1
12700,53,0
12800,50,0
12900,46,2
13000,39,5
13100,52,1
13200,37,0
13300,23,0
13400,59,0
13500,45,5
13600,58,4
13700,55,1
13800,63,0
13900,54,0
14000,49,6
14100,51,3
14200,44,1
14300,44,0
14400,47,0
14500,37,3
14600,30,5
14700,50,0
14800,57,0
14900,60,0
15000,41,2
15100,49,2
15200,45,0
15300,63,0
15400,61,0
15500,49,5
15600,45,3
15700,62,0
15800,27,0
15900,46,0
16000,46,0
16100,41,6
16200,41,2
16300,60,2
16400,63,0
16500,35,2
16600,34,2
16700,66,0
16800,62,0
16900,63,0
17000,62,3
17100,23,3
17200,39,0
17300,62,0
17400,62,2
17500,33,0
17600,15,2
17700,62,0
17800,53,4
17900,59,0
18000,25,0
18100,13,4
18200,50,2
18300,64,0
18400,60,4
18500,43,0
18600,16,4
18700,45,0
18800,64,0
18900,61,3
19000,48,1
19100,15,2
19200,14,0
19300,62,1
19400,52,2
19500,18,3
19600,46,4
19700,63,2
19800,62,2
19900,48,0
20000,15,2
20100,31,0
20200,64,0
20300,62,2
20400,62,0
20500,36,6
20600,15,2
20700,37,0
20800,56,2
20900,13,4
21000,61,2
21100,54,2
21200,62,2
21300,30,2
21400,31,0
21500,62,2
21600,63,2
21700,64,0
21800,50,1
21900,20,3
22000,15,1
22100,13,2
22200,22,2
22300,65,2
22400,61,5
22500,57,0
22600,15,3
22700,28,3
22800,65,0
22900,63,2
23000,50,0
23100,17,2
23200,63,2
23300,12,4
23400,47,4
23500,10,3
23600,62,0
23700,63,0
23800,59,2
23900,54,1
24000,16,3
24100,10,1
24200,60,1
24300,63,2
24400,65,1
24500,19,3
24600,12,2
24700,27,6
24800,60,2
24900,52,0
25000,59,0
25100,34,1
25200,24,2
25300,62,1
25400,63,1
25500,62,1
25600,23,5
25700,16,0
25800,35,2
25900,62,2
26000,60,5
26100,17,3
26200,47,0
26300,64,0
26400,64,2
26500,32,2
26600,44,3
26700,27,2
26800,41,1
26900,62,2
27000,44,3
27100,13,2
27200,14,4
27300,62,3
27400,47,0
27500,33,4
27600,64,1
27700,65,0
27800,56,3
27900,35,2
28000,14,2
28100,14,2
28200,63,1
28300,62,2
28400,29,3
28500,13,2
28600,34,5
28700,61,3
28800,65,2
28900,64,0
29000,62,1
29100,64,0
29200,61,2
29300,33,1
29400,14,1
29500,17,2
29600,38,3
29700,37,3
29800,13,3
29900,33,6
30000,61,2
30100,61,2
30200,66,0
30300,62,2
30400,60,1
30500,55,1
30600,22,1
30700,14,1
30800,10,3
30900,56,1
31000,52,4
31100,57,4
31200,30,4
31300,13,0
31400,56,0
31500,66,2
31600,63,0
31700,60,3
31800,60,1
31900,39,0
32000,15,2
32100,14,2
32200,19,3
32300,65,1
32400,27,3
32500,10,5
32600,49,0
32700,63,0
32800,63,2
32900,61,3
33000,37,1
33100,15,1
33200,44,2
33300,62,1
33400,34,1
33500,59,2
33600,24,3
33700,54,3
33800,63,0
33900,45,2
34000,14,2
34100,15,0
34200,49,0
34300,60,3
34400,16,3
34500,13,2
34600,26,4
34700,62,2
34800,63,0
34900,62,4
35000,63,0
35100,51,4
35200,64,0
35300,36,0
35400,14,1
35500,28,5
35600,46,3
35700,12,3
35800,62,2
35900,53,6
36000,56,0
36100,17,2
36200,16,0
36300,39,2
36400,59,3
36500,55,0
36600,47,1
36700,15,0
36800,40,4
36900,49,1
37000,28,1
37100,12,4
37200,58,1
37300,62,2
37400,63,1
37500,44,1
37600,14,2
37700,18,5
37800,63,2
37900,63,1
38000,63,0
38100,63,0
38200,26,0
38300,16,2
38400,40,0
38500,56,2
38600,13,0
38700,6,0
38800,0,0
38900,3,0
