cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5,ipc-6,ipc-7,ipc-8,ipc-9,ipc-10,ipc-11,ipc-12,ipc-13,ipc-14,ipc-15,ipc-16,ipc-17,ipc-18,ipc-19,ipc-20,ipc-21,ipc-22,ipc-23,ipc-24,ipc-25,ipc-26,ipc-27,ipc-28,ipc-29
1000000,1.550,0.590,1.750,0.910,1.030,0.000,0.740,1.020,1.320,0.000,0.070,0.700,0.060,0.000,0.030,1.880,0.740,0.460,0.910,0.710,1.320,0.910,0.360,0.100,0.490,1.080,0.490,2.000,0.030,0.000
1000100,2.400,1.460,1.790,1.760,0.920,0.000,0.230,0.730,1.020,0.000,0.000,0.700,0.010,0.000,0.210,1.310,0.450,0.410,0.700,1.570,0.390,0.900,0.650,0.020,1.590,1.540,0.300,0.700,0.000,1.180
1000200,1.510,1.220,1.260,0.690,1.490,0.000,0.180,0.810,2.030,0.000,0.060,0.900,0.160,0.080,1.170,2.470,0.290,1.200,0.430,1.080,0.510,1.060,0.400,0.030,1.070,0.600,0.490,0.790,0.020,0.880
1000300,1.800,0.450,1.720,1.080,0.860,0.000,0.270,1.730,0.740,0.000,0.060,1.100,0.030,0.040,0.200,1.670,0.640,0.490,1.650,0.300,1.750,0.780,0.330,0.050,0.320,1.110,0.710,1.660,0.000,0.530
1000400,1.380,0.620,1.220,1.720,1.520,0.000,0.770,1.240,0.400,0.000,0.040,0.420,0.000,0.000,0.770,0.650,0.170,0.780,1.170,1.810,1.190,1.020,1.070,0.030,1.600,1.520,0.250,0.550,0.000,0.850
1000500,2.390,0.530,1.230,1.490,0.860,0.000,0.100,0.450,1.010,0.000,0.070,0.150,0.120,0.020,0.720,1.220,0.480,0.440,0.140,0.830,0.220,0.860,0.570,0.050,1.000,1.980,0.260,0.690,0.080,0.400
1000600,1.110,1.030,0.600,0.710,1.260,0.000,0.370,1.620,0.780,0.000,0.030,0.400,0.050,0.050,0.130,0.470,0.310,0.650,0.380,1.160,1.380,1.450,0.380,0.030,0.130,1.010,0.220,0.700,0.040,0.220
1000700,2.000,0.650,2.080,0.890,1.100,0.000,0.680,1.910,3.690,0.000,0.010,0.950,0.020,0.000,0.800,1.250,0.180,0.730,0.870,1.210,0.720,0.790,0.620,0.000,0.800,0.740,0.350,1.540,0.000,0.340
1000800,1.810,0.710,1.560,1.020,1.140,0.000,0.510,1.170,0.920,0.000,0.120,0.460,0.060,0.020,0.830,1.710,0.560,0.310,0.390,2.160,0.730,0.610,0.680,0.040,0.400,1.030,0.540,0.860,0.020,0.860
1000900,1.840,1.390,0.240,0.690,0.500,0.000,0.480,1.180,2.380,0.000,0.070,0.480,0.080,0.000,0.190,1.560,1.020,0.520,0.630,0.860,1.470,0.690,0.550,0.000,0.120,0.890,0.420,0.930,0.070,0.450
