cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5,ipc-6,ipc-7,ipc-8,ipc-9,ipc-10,ipc-11,ipc-12,ipc-13,ipc-14,ipc-15,ipc-16,ipc-17,ipc-18,ipc-19,ipc-20,ipc-21,ipc-22,ipc-23,ipc-24,ipc-25,ipc-26,ipc-27,ipc-28,ipc-29
3000000,0.010,0.000,0.080,0.000,0.030,0.020,0.000,0.000,0.010,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.030,0.000,0.000,0.000,0.040,0.000,0.000,0.010,0.020,0.000
3000100,0.050,0.110,0.050,0.000,0.000,0.000,0.000,0.000,0.100,0.060,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.010,0.050,0.030,0.000,0.040,0.020,0.000,0.000,0.050,0.030,0.030
3000200,0.060,0.040,0.080,0.000,0.060,0.000,0.000,0.000,0.080,0.090,0.030,0.000,0.000,0.080,0.000,0.000,0.030,0.060,0.000,0.050,0.040,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.060,0.000
3000300,0.010,0.000,0.080,0.000,0.030,0.030,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0.000,0.000,0.000,0.030,0.000,0.000,0.010,0.030,0.030
3000400,0.050,0.080,0.050,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.060,0.000,0.000,0.010,0.000,0.000,0.030,0.030,0.000,0.010,0.050,0.000,0.000,0.040,0.000,0.000,0.000,0.050,0.000,0.030
3000500,0.060,0.070,0.050,0.000,0.030,0.000,0.000,0.000,0.000,0.060,0.070,0.000,0.000,0.000,0.000,0.000,0.060,0.090,0.000,0.020,0.070,0.030,0.000,0.020,0.000,0.000,0.000,0.000,0.060,0.000
3000600,0.000,0.000,0.080,0.000,0.030,0.060,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.050,0.000,0.000,0.060,0.090,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.060,0.030
3000700,0.090,0.060,0.060,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.030,0.000,0.000,0.010,0.000,0.000,0.030,0.030,0.000,0.000,0.060,0.000,0.000,0.060,0.030,0.000,0.000,0.080,0.030,0.030
3000800,0.060,0.040,0.060,0.000,0.030,0.000,0.000,0.000,0.060,0.060,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.060,0.060,0.000,0.030,0.000,0.000,0.000,0.000,0.060,0.000
3000900,0.000,0.020,0.020,0.000,0.030,0.060,0.000,0.000,0.030,0.000,0.020,0.000,0.000,0.040,0.000,0.000,0.050,0.090,0.000,0.000,0.030,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.030,0.030
3001000,0.060,0.030,0.040,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.060,0.000,0.000,0.020,0.000,0.000,0.040,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0.060,0.000,0.000,0.060,0.030,0.070
3001100,0.060,0.030,0.030,0.000,0.030,0.000,0.000,0.000,0.090,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.030,0.090,0.000,0.030,0.030,0.000,0.000,0.000,0.030,0.050
3001200,0.000,0.030,0.080,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.060,0.000,0.000,0.010,0.060,0.000,0.010,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000
3001300,0.060,0.000,0.040,0.000,0.000,0.010,0.000,0.000,0.060,0.000,0.060,0.000,0.000,0.030,0.000,0.000,0.050,0.110,0.000,0.000,0.000,0.000,0.000,0.030,0.030,0.000,0.000,0.060,0.080,0.000
3001400,0.010,0.090,0.060,0.000,0.000,0.000,0.000,0.000,0.120,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.050,0.090,0.060,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.060
3001500,0.020,0.030,0.070,0.000,0.030,0.040,0.000,0.000,0.000,0.060,0.060,0.000,0.000,0.030,0.000,0.000,0.010,0.010,0.000,0.060,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000
3001600,0.060,0.030,0.050,0.000,0.090,0.020,0.000,0.000,0.030,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.060,0.120,0.000,0.060,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.030,0.120,0.000
3001700,0.030,0.060,0.010,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.020,0.000,0.010,0.050,0.060,0.000,0.030,0.030,0.000,0.000,0.000,0.110,0.060
3001800,0.030,0.030,0.120,0.000,0.000,0.040,0.000,0.000,0.040,0.030,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3001900,0.060,0.010,0.020,0.000,0.060,0.020,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.030,0.000,0.000,0.010,0.090,0.000,0.060,0.000,0.000,0.000,0.030,0.020,0.000,0.000,0.030,0.010,0.000
3002000,0.030,0.080,0.030,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,0.060,0.000,0.030,0.020,0.050,0.000,0.030,0.070,0.000,0.000,0.000,0.150,0.090
3002100,0.030,0.030,0.120,0.000,0.000,0.040,0.000,0.000,0.090,0.010,0.080,0.000,0.000,0.010,0.000,0.000,0.000,0.060,0.000,0.000,0.130,0.010,0.000,0.000,0.060,0.000,0.000,0.000,0.050,0.000
3002200,0.010,0.010,0.040,0.000,0.060,0.020,0.000,0.000,0.040,0.060,0.060,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.080,0.000,0.000
3002300,0.050,0.110,0.080,0.000,0.000,0.000,0.000,0.000,0.050,0.020,0.010,0.000,0.000,0.000,0.000,0.000,0.030,0.060,0.000,0.030,0.010,0.070,0.000,0.050,0.000,0.000,0.000,0.060,0.040,0.030
3002400,0.090,0.030,0.150,0.000,0.000,0.060,0.000,0.000,0.020,0.000,0.040,0.000,0.000,0.010,0.000,0.000,0.060,0.180,0.000,0.000,0.080,0.020,0.000,0.000,0.060,0.000,0.000,0.010,0.080,0.000
3002500,0.070,0.000,0.030,0.000,0.050,0.030,0.000,0.000,0.020,0.060,0.070,0.000,0.000,0.050,0.000,0.000,0.000,0.030,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3002600,0.020,0.110,0.000,0.000,0.080,0.000,0.000,0.000,0.060,0.030,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.030,0.000,0.060,0.000,0.000,0.000,0.040,0.030,0.010
3002700,0.030,0.040,0.150,0.000,0.020,0.030,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.060,0.090,0.000,0.000,0.090,0.030,0.000,0.000,0.030,0.000,0.000,0.020,0.060,0.020
3002800,0.070,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.030,0.030,0.130,0.000,0.000,0.090,0.000,0.000,0.000,0.030,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3002900,0.020,0.070,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.030,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.060,0.000,0.000,0.000,0.040,0.060,0.030
