cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,0,0,0,0,0
5600,22,0,0,0,0,0
5700,18,0,0,0,0,0
5800,71,0,0,0,0,0
5900,49,0,0,0,0,0
6000,0,0,0,0,0,0
6100,63,0,0,0,0,0
6200,17,0,0,0,0,0
6300,31,0,0,0,0,0
6400,49,0,0,0,0,0
6500,0,0,10,0,30,0
6600,0,0,0,0,0,0
6700,0,0,10,0,30,0
6800,0,0,0,0,0,0
6900,0,0,0,0,0,0
7000,0,0,20,0,27,0
7100,0,0,0,0,33,0
7200,0,0,0,0,0,0
7300,0,0,0,0,0,0
7400,0,0,0,0,0,0
7500,0,0,0,0,0,0
7600,52,0,0,0,0,0
7700,91,0,0,0,0,0
7800,33,0,0,0,0,0
7900,12,0,0,0,0,0
8000,84,0,0,0,0,0
8100,46,0,6,0,18,0
8200,2,0,11,0,33,0
8300,0,0,12,0,33,0
8400,0,0,9,0,29,0
8500,0,0,2,0,7,0
8600,8,0,0,0,0,0
8700,0,0,0,0,0,0
8800,7,0,0,0,0,0
8900,47,0,0,0,0,0
9000,50,0,0,0,0,0
9100,61,0,1,0,3,0
9200,31,0,1,0,3,0
9300,34,0,2,0,6,0
9400,38,0,3,0,9,0
9500,43,0,1,0,3,0
9600,5,0,5,0,14,0
9700,8,0,10,0,31,0
9800,4,0,11,0,28,0
9900,8,0,6,0,23,0
10000,32,0,0,0,0,0
10100,25,0,0,0,0,0
10200,39,0,0,0,0,0
10300,46,0,4,0,12,0
10400,53,0,0,0,0,0
10500,36,0,0,0,0,0
10600,13,0,7,0,21,0
10700,28,0,5,0,15,0
10800,35,0,9,0,23,0
10900,6,0,9,0,30,0
11000,15,0,1,0,4,0
11100,20,0,5,0,15,0
11200,20,0,2,0,6,0
11300,41,0,1,0,3,0
11400,33,0,1,0,3,0
11500,48,0,1,0,3,0
11600,36,0,0,0,0,0
11700,34,0,3,0,9,0
11800,26,0,3,0,9,0
11900,26,0,7,0,21,0
12000,20,0,6,0,18,0
12100,28,0,11,0,33,0
12200,16,0,3,0,9,0
12300,20,0,5,0,15,0
12400,32,0,1,0,3,0
12500,35,0,1,0,3,0
12600,28,0,1,0,3,0
12700,42,0,4,0,10,0
12800,36,0,2,0,8,0
12900,34,0,5,0,13,0
13000,25,0,4,0,14,0
13100,32,0,2,0,6,0
13200,22,0,6,0,17,0
13300,20,0,3,0,8,0
13400,32,0,5,0,17,0
13500,27,0,3,0,9,0
13600,15,0,2,0,6,0
13700,40,0,5,0,15,0
13800,32,0,1,0,1,0
13900,33,0,6,0,20,0
14000,40,0,4,0,12,0
14100,41,0,4,0,12,0
14200,17,0,3,0,9,0
14300,37,0,2,0,6,0
14400,22,0,6,0,18,0
14500,22,0,6,0,18,0
14600,29,0,5,0,15,0
14700,31,0,3,0,9,0
14800,31,0,4,0,12,0
14900,25,0,2,0,6,0
15000,35,0,5,0,15,0
15100,21,0,6,0,18,0
15200,12,0,4,0,12,0
15300,8,0,12,0,35,0
15400,8,0,9,0,24,0
15500,8,0,8,0,25,0
15600,8,0,5,0,18,0
15700,8,0,5,0,15,0
15800,20,0,8,0,24,0
15900,17,0,4,0,10,0
16000,23,0,9,0,29,0
16100,15,0,7,0,18,0
16200,5,0,10,0,33,0
16300,8,0,4,0,12,0
16400,6,0,10,0,30,0
16500,10,0,6,0,18,0
16600,0,0,6,0,18,0
16700,0,0,7,0,21,0
16800,0,0,8,0,24,0
16900,0,0,2,0,3,0
17000,0,0,1,0,6,0
17100,0,0,4,0,9,0
17200,0,0,0,0,3,0
