kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs_linear_base.1.sm_75.ptx 68 : 1 5 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 67 : 1 357 32 0 0 1 1 0 0 
bfs_linear_base.1.sm_75.ptx 66 : 1 9 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 65 : 1 9 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 64 : 1 6 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 71 : 256 1307 0 0 0 0 0 0 1 
bfs_linear_base.1.sm_75.ptx 62 : 256 1275 0 0 0 0 0 0 1 
bfs_linear_base.1.sm_75.ptx 61 : 256 1536 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 60 : 256 1536 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 59 : 256 59872 0 0 0 8 8 0 0 
bfs_linear_base.1.sm_75.ptx 412 : 256 1312 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 58 : 256 2336 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 57 : 256 1536 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 56 : 256 1568 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 55 : 256 1568 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 54 : 256 1632 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 53 : 256 1600 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 52 : 256 1728 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 51 : 256 2656 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 50 : 256 2880 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 49 : 256 2336 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 48 : 256 1536 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 438 : 1 6 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 451 : 256 1280 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 45 : 256 1536 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 436 : 256 1275 0 0 0 0 0 0 1 
bfs_linear_base.1.sm_75.ptx 435 : 256 1536 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 434 : 256 1536 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 79 : 1 5 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 433 : 256 1920 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 78 : 1 6 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 432 : 256 2432 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 77 : 1 357 0 0 0 1 1 0 0 
bfs_linear_base.1.sm_75.ptx 431 : 256 2048 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 76 : 1 357 32 0 0 1 1 0 0 
bfs_linear_base.1.sm_75.ptx 430 : 256 2560 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 75 : 1 9 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 429 : 256 3424 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 74 : 1 9 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 428 : 256 2944 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 73 : 1 6 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 427 : 256 4864 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 426 : 256 1472 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 439 : 1 6 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 440 : 1 205 0 0 0 1 1 0 0 
bfs_linear_base.1.sm_75.ptx 441 : 1 239 0 0 0 1 1 0 0 
bfs_linear_base.1.sm_75.ptx 442 : 1 6 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 443 : 1 0 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 445 : 1 6 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 446 : 1 9 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 447 : 1 9 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 41 : 256 1472 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 448 : 1 4 0 0 0 1 1 0 0 
bfs_linear_base.1.sm_75.ptx 42 : 256 4064 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 43 : 256 3040 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 44 : 256 1888 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 46 : 256 2528 0 0 0 0 0 0 0 
bfs_linear_base.1.sm_75.ptx 47 : 256 4192 0 0 0 0 0 0 0 
