cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,36,21,61,30,36
5400,0,97,19,98,74,97
5500,0,134,27,85,78,134
5600,0,13,1,94,8,13
5700,0,4,0,5,2,4
5800,0,0,52,148,4,0
5900,0,0,26,284,0,0
6000,0,0,10,377,0,0
6100,0,0,7,393,0,0
6200,0,0,37,291,1,0
6300,0,0,16,317,0,0
6400,0,0,30,219,1,0
6500,0,0,7,192,1,0
6600,0,0,1,166,0,0
6700,0,0,8,159,0,0
6800,0,0,16,193,3,0
6900,0,0,26,312,1,0
7000,0,0,17,201,0,0
7100,0,0,11,221,1,0
7200,0,0,7,275,3,0
7300,0,0,7,347,1,0
7400,0,0,6,287,1,0
7500,0,0,11,183,2,0
7600,0,0,14,207,1,0
7700,0,0,4,92,4,0
7800,0,0,1,380,0,0
7900,0,0,14,321,1,0
8000,0,0,2,125,0,0
8100,0,0,6,241,0,0
8200,0,0,6,346,0,0
8300,0,0,8,177,1,0
8400,0,0,4,384,0,0
8500,0,0,6,329,1,0
8600,0,0,9,235,4,0
8700,0,0,7,293,0,0
8800,0,0,10,132,2,0
8900,0,0,6,296,1,0
9000,0,0,4,189,2,0
9100,0,0,8,324,0,0
9200,0,0,5,149,0,0
9300,0,0,9,299,0,0
9400,0,0,3,148,2,0
9500,0,0,6,216,1,0
9600,0,0,4,328,0,0
9700,0,0,5,215,0,0
9800,0,0,9,190,1,0
9900,0,0,12,190,2,0
10000,0,0,9,172,1,0
10100,0,0,9,321,0,0
10200,0,0,6,156,0,0
10300,0,0,7,393,0,0
10400,0,0,10,297,0,0
10500,0,0,10,179,1,0
10600,0,0,15,279,1,0
10700,0,0,11,363,1,0
10800,0,0,1,247,1,0
10900,0,0,2,197,1,0
11000,0,0,3,197,0,0
11100,0,0,8,170,1,0
11200,0,0,9,359,0,0
11300,0,0,6,188,2,0
11400,0,0,9,247,2,0
11500,0,0,7,190,0,0
11600,0,0,11,213,1,0
11700,0,0,3,242,1,0
11800,0,3,9,236,1,3
11900,0,1,3,238,1,1
12000,0,4,8,154,1,4
12100,0,9,7,280,3,9
12200,0,3,5,260,1,3
12300,0,0,7,335,0,0
12400,0,3,8,158,3,3
12500,0,1,8,232,2,1
12600,0,0,7,313,0,0
12700,0,8,11,231,3,8
12800,0,2,3,346,3,2
12900,0,1,4,227,1,1
13000,0,0,5,119,6,0
13100,0,8,11,229,4,8
13200,0,3,4,134,10,3
13300,1,9,2,255,7,9
13400,1,7,6,160,5,7
13500,0,3,3,352,2,3
13600,0,0,9,339,0,0
13700,2,5,9,224,10,5
13800,0,3,19,355,2,3
13900,0,3,13,224,3,3
14000,1,12,2,156,10,12
14100,3,5,13,312,2,5
14200,1,0,9,232,2,0
14300,4,4,10,252,5,4
14400,5,7,7,126,7,7
14500,3,5,12,142,3,5
14600,0,4,3,89,4,4
14700,6,3,4,53,7,3
14800,0,0,8,352,4,0
14900,0,0,6,175,2,0
15000,0,0,10,336,0,0
15100,0,0,16,232,0,0
15200,4,7,8,85,1,7
15300,10,1,13,337,3,1
15400,3,0,22,328,1,0
15500,2,0,9,279,1,0
15600,0,0,20,309,0,0
15700,2,5,22,236,1,5
15800,3,2,33,159,6,2
15900,1,0,23,106,2,0
16000,4,2,18,104,5,2
16100,0,0,0,0,0,0
16200,0,0,37,0,4,0
16300,13,0,32,0,7,0
16400,0,0,11,0,1,0
16500,0,0,16,0,2,0
16600,2,0,53,0,4,0
16700,14,0,43,24,13,0
16800,14,2,45,14,5,2
16900,23,5,24,0,9,5
17000,5,0,27,0,3,0
17100,11,0,20,0,7,0
17200,34,3,44,0,9,3
17300,10,1,20,0,6,1
17400,14,1,11,0,3,1
17500,4,0,32,0,2,0
17600,42,3,29,0,20,3
17700,2,0,17,0,0,0
17800,29,1,53,0,19,1
17900,30,4,75,0,12,4
18000,14,1,60,24,11,1
18100,33,5,81,21,15,5
18200,15,0,15,0,2,0
18300,6,0,55,4,4,0
18400,9,1,82,111,10,1
18500,0,0,8,0,0,0
18600,7,0,46,0,5,0
18700,6,0,19,0,2,0
18800,8,0,73,102,10,0
18900,12,3,49,36,12,3
19000,1,2,28,69,10,2
19100,13,5,17,198,4,5
