cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5,ipc-6,ipc-7,ipc-8,ipc-9,ipc-10,ipc-11,ipc-12,ipc-13,ipc-14,ipc-15,ipc-16,ipc-17,ipc-18,ipc-19,ipc-20,ipc-21,ipc-22,ipc-23,ipc-24,ipc-25,ipc-26,ipc-27,ipc-28,ipc-29
5000000,0.030,0.000,0.030,0.330,0.530,0.120,0.150,0.170,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5000100,0.000,0.000,0.000,0.370,0.220,0.000,0.060,0.010,0.000,0.000,0.060,0.000,0.110,0.060,0.000,0.000,0.090,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040
5000200,0.000,0.000,0.000,0.170,0.120,0.060,0.090,0.120,0.020,0.000,0.000,0.030,0.130,0.060,0.000,0.000,0.080,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020
5000300,0.000,0.000,0.030,0.650,0.240,0.150,0.000,0.190,0.080,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5000400,0.030,0.000,0.060,0.170,0.240,0.000,0.000,0.020,0.020,0.000,0.030,0.030,0.060,0.120,0.000,0.000,0.030,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060
5000500,0.000,0.000,0.000,0.350,0.360,0.100,0.020,0.240,0.000,0.000,0.030,0.030,0.150,0.060,0.000,0.000,0.120,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5000600,0.060,0.000,0.000,0.750,0.420,0.140,0.120,0.060,0.040,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5000700,0.060,0.000,0.060,0.300,0.180,0.000,0.010,0.030,0.060,0.000,0.090,0.030,0.030,0.060,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5000800,0.060,0.000,0.090,0.420,0.270,0.020,0.020,0.030,0.060,0.000,0.000,0.060,0.090,0.060,0.000,0.000,0.030,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
5000900,0.030,0.000,0.060,0.480,0.240,0.150,0.170,0.150,0.020,0.000,0.060,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5001000,0.000,0.000,0.060,0.300,0.420,0.010,0.060,0.030,0.000,0.000,0.090,0.030,0.030,0.060,0.000,0.000,0.030,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
5001100,0.030,0.000,0.060,0.210,0.170,0.020,0.020,0.060,0.060,0.000,0.060,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
5001200,0.030,0.000,0.080,0.530,0.580,0.040,0.180,0.120,0.060,0.000,0.030,0.030,0.020,0.000,0.000,0.000,0.060,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5001300,0.000,0.000,0.040,0.130,0.300,0.030,0.040,0.030,0.030,0.000,0.030,0.030,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
5001400,0.060,0.000,0.000,0.140,0.430,0.030,0.060,0.010,0.000,0.000,0.080,0.000,0.130,0.060,0.000,0.000,0.030,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
5001500,0.030,0.000,0.000,0.310,0.310,0.060,0.200,0.200,0.030,0.000,0.090,0.030,0.020,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
5001600,0.000,0.000,0.010,0.390,0.580,0.060,0.150,0.030,0.030,0.000,0.040,0.030,0.010,0.000,0.000,0.000,0.090,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030
